fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-04-23,1374,480,1161,396,0.34934497816593885,0.34108527131782945
2020-04-24,1553,588,1320,485,0.3786220218931101,0.36742424242424243
2020-04-25,494,239,445,218,0.48380566801619435,0.4898876404494382
2020-04-26,410,170,346,146,0.4146341463414634,0.42196531791907516
2020-04-27,1632,649,1406,548,0.39767156862745096,0.38975817923186346
2020-04-28,1696,560,1398,462,0.330188679245283,0.33047210300429186
2020-04-29,1916,713,1600,602,0.3721294363256785,0.37625
2020-04-30,1890,592,1592,501,0.31322751322751324,0.3146984924623116
2020-05-01,741,240,602,190,0.32388663967611336,0.31561461794019935
2020-05-02,649,263,577,227,0.4052388289676425,0.3934142114384749
2020-05-03,556,222,500,197,0.39928057553956836,0.394
2020-05-04,2023,753,1657,622,0.3722194760257044,0.37537718768859385
2020-05-05,1599,586,1370,508,0.36647904940587867,0.3708029197080292
2020-05-06,2176,694,1784,592,0.31893382352941174,0.33183856502242154
2020-05-07,2237,705,1842,585,0.31515422440768887,0.31758957654723124
2020-05-08,2449,921,2000,751,0.37607186606778276,0.3755
2020-05-09,798,351,684,305,0.4398496240601504,0.44590643274853803
2020-05-10,469,210,416,176,0.44776119402985076,0.4230769230769231
2020-05-11,2221,892,1755,699,0.40162089149031965,0.39829059829059826
2020-05-12,2256,941,1898,826,0.4171099290780142,0.4351949420442571
2020-05-13,2419,1112,1959,905,0.4596940884663084,0.4619703930576825
2020-05-14,2240,971,1867,798,0.43348214285714287,0.4274236743438672
2020-05-15,2678,1181,2195,969,0.44100074682598955,0.44145785876993165
2020-05-16,958,439,796,371,0.4582463465553236,0.46608040201005024
2020-05-17,608,288,519,249,0.47368421052631576,0.4797687861271676
2020-05-18,2719,1182,2210,955,0.43471864656123577,0.4321266968325792
2020-05-19,2561,1207,2113,995,0.47130027333073016,0.4708944628490298
2020-05-20,2684,1239,2144,1014,0.46162444113263784,0.47294776119402987
2020-05-21,2771,1232,2278,996,0.4446048357993504,0.437225636523266
2020-05-22,2784,1226,2266,954,0.44037356321839083,0.4210061782877317
2020-05-23,919,391,804,335,0.42546245919477693,0.4166666666666667
2020-05-24,640,300,519,251,0.46875,0.4836223506743738
2020-05-25,2873,1293,2301,1029,0.4500522102332057,0.4471968709256845
2020-05-26,2900,1386,2297,1074,0.47793103448275864,0.4675663909447105
2020-05-27,3311,1454,2691,1180,0.43914225309574145,0.4384986993682646
2020-05-28,2357,1060,1954,898,0.44972422571064913,0.4595701125895599
2020-05-29,2539,1122,2162,958,0.4419062623079953,0.4431082331174838
2020-05-30,1155,547,991,472,0.47359307359307357,0.47628657921291623
2020-05-31,689,346,573,296,0.502177068214804,0.5165794066317626
2020-06-01,3047,1469,2521,1204,0.4821135543157204,0.47758825862752874
2020-06-02,3021,1420,2382,1083,0.47004303210857334,0.45465994962216627
2020-06-03,3240,1458,2583,1110,0.45,0.429732868757259
2020-06-04,2800,1164,2314,954,0.4157142857142857,0.41227312013828865
2020-06-05,2912,1233,2409,1009,0.42342032967032966,0.41884599418845997
2020-06-06,1036,482,878,400,0.46525096525096526,0.45558086560364464
2020-06-07,635,294,523,257,0.462992125984252,0.491395793499044
2020-06-08,3165,1495,2578,1200,0.47235387045813587,0.46547711404189296
2020-06-09,2977,1400,2403,1084,0.47027208599261,0.45110278818143984
2020-06-10,3072,1371,2503,1072,0.4462890625,0.4282860567319217
2020-06-11,3029,1273,2411,986,0.42027071640805547,0.408958938199917
2020-06-12,3095,1249,2532,1006,0.4035541195476575,0.39731437598736175
2020-06-13,1127,435,919,346,0.385980479148181,0.3764961915125136
2020-06-14,853,350,670,262,0.41031652989449,0.39104477611940297
2020-06-15,3107,1145,2515,882,0.3685226906984229,0.3506958250497018
2020-06-16,3184,1248,2627,1023,0.39195979899497485,0.3894175866006852
2020-06-17,3081,1198,2451,952,0.38883479389808506,0.3884128926968584
2020-06-18,2899,1070,2377,874,0.3690927906174543,0.36769036600757254
2020-06-19,2872,1110,2276,868,0.3864902506963788,0.38137082601054484
2020-06-20,978,364,802,300,0.3721881390593047,0.3740648379052369
2020-06-21,726,295,601,245,0.40633608815426997,0.40765391014975044
2020-06-22,2729,1103,2199,859,0.4041773543422499,0.39063210550250116
2020-06-23,2805,1074,2338,882,0.38288770053475935,0.3772455089820359
2020-06-24,2702,1073,2273,894,0.39711324944485565,0.39331280246370437
2020-06-25,2864,1085,2362,877,0.378840782122905,0.3712955122777307
2020-06-26,2923,1077,2417,879,0.3684570646595963,0.36367397600330986
2020-06-27,895,360,716,286,0.4022346368715084,0.3994413407821229
2020-06-28,705,241,534,198,0.34184397163120567,0.3707865168539326
2020-06-29,3730,1386,2990,1071,0.37158176943699733,0.35819397993311036
2020-06-30,3306,1285,2662,1011,0.38868723532970356,0.37978963185574754
2020-07-01,3236,1256,2657,998,0.38813349814585907,0.3756115920210764
2020-07-02,2862,1107,2369,905,0.3867924528301887,0.38201772899957787
2020-07-03,3362,1206,2830,984,0.3587150505651398,0.34770318021201413
2020-07-04,1025,354,886,304,0.34536585365853656,0.3431151241534989
2020-07-05,780,244,662,200,0.3128205128205128,0.3021148036253776
2020-07-06,3384,1225,2762,989,0.36199763593380613,0.3580738595220854
2020-07-07,3355,1290,2713,998,0.38450074515648286,0.3678584592701806
2020-07-08,3342,1234,2867,1053,0.3692399760622382,0.3672828740844088
2020-07-09,3007,1006,2426,739,0.3345527103425341,0.3046166529266282
2020-07-10,3100,990,2589,830,0.3193548387096774,0.32058709926612594
2020-07-11,1034,351,841,286,0.33945841392649906,0.3400713436385256
2020-07-12,748,265,629,227,0.35427807486631013,0.36089030206677264
2020-07-13,3503,1337,2923,1084,0.3816728518412789,0.3708518645227506
2020-07-14,3450,1266,2877,1039,0.36695652173913046,0.3611400764685436
2020-07-15,4411,1410,3827,1164,0.31965540693720246,0.30415469035798276
2020-07-16,4312,1377,3740,1127,0.31934137291280146,0.3013368983957219
2020-07-17,4340,1252,3846,1072,0.28847926267281104,0.2787311492459698
2020-07-18,1801,619,1619,554,0.34369794558578565,0.34218653489808526
